7.75987,4.74546,29.7868
7.46466,4.57919,29.3529
7.18358,4.45117,28.9065
6.91883,4.35912,28.4521
6.67215,4.30061,27.9935
6.44491,4.27317,27.5341
6.23808,4.27443,27.0767
6.05236,4.30216,26.624
5.88814,4.3543,26.1782
5.74562,4.42904,25.7413
5.6248,4.52479,25.3149
5.52555,4.6402,24.9007
5.44764,4.77416,24.5001
5.39074,4.92577,24.1146
5.35452,5.09435,23.7455
5.33858,5.27936,23.3942
5.34255,5.48043,23.062
5.36603,5.69731,22.7503
5.40868,5.92984,22.4606
5.47016,6.17791,22.1944
5.55013,6.44141,21.9533
5.64831,6.72023,21.7391
5.76442,7.0142,21.5537
5.89818,7.32301,21.3989
6.04929,7.64624,21.277
6.21746,7.98322,21.19
6.40232,8.33304,21.1403
6.60345,8.69444,21.1303
6.82032,9.0658,21.1624
7.0523,9.44504,21.2391
7.29857,9.82954,21.3626
7.55812,10.2162,21.5353
7.82972,10.6011,21.759
8.11184,10.9798,22.0353
8.40265,11.3473,22.3654
8.69999,11.6978,22.7495
9.00129,12.0247,23.1871
9.30363,12.3213,23.6769
9.60366,12.5803,24.2159
9.89765,12.7941,24.8001
10.1815,12.9554,25.4237
10.4509,13.0574,26.0796
10.7013,13.0938,26.7588
10.9279,13.0597,27.4512
11.1261,12.9517,28.145
11.2916,12.7683,28.8278
11.4202,12.51,29.4866
11.5085,12.1799,30.1082
11.5537,11.7833,30.6802
11.5539,11.3278,31.1912
11.5083,10.8228,31.6314
11.4171,10.2794,31.9931
11.2814,9.70953,32.2709
11.1036,9.12569,32.4622
10.887,8.54009,32.5665
10.6357,7.96425,32.5858
10.3544,7.40855,32.5243
10.0483,6.88183,32.3876
9.72297,6.39125,32.1824
9.38385,5.94219,31.9166
9.03642,5.53828,31.5981
8.6859,5.18157,31.235
8.33709,4.87267,30.8349
7.99439,4.61106,30.4053
7.66163,4.39526,29.9527
7.34213,4.22314,29.4832
7.03866,4.09209,29.002
6.75348,3.99926,28.5139
6.48833,3.94171,28.0227
6.24452,3.91653,27.5319
6.02297,3.92095,27.0444
5.82426,3.95242,26.5626
5.64866,4.00862,26.0887
5.49623,4.08754,25.6246
5.36685,4.18745,25.1719
5.26025,4.30691,24.7321
5.17605,4.44477,24.3064
5.11384,4.60012,23.8963
5.07315,4.7723,23.5029
5.05351,4.96085,23.1274
5.05447,5.16549,22.7712
5.07558,5.38609,22.4356
5.11644,5.62263,22.1219
5.1767,5.87517,21.8316
5.25604,6.1438,21.5664
5.35417,6.42863,21.3278
5.47085,6.72971,21.1179
5.60587,7.04702,20.9386
5.75901,7.38039,20.792
5.93007,7.72947,20.6806
6.11881,8.09365,20.6066
6.32493,8.472,20.5729
6.54808,8.86322,20.582
6.78778,9.26553,20.6369
7.0434,9.67663,20.7402
7.31412,10.0936,20.8948
7.5989,10.5128,21.1031
7.89641,10.9299,21.3677
8.20499,11.3398,21.6902
8.52262,11.7364,22.072
8.84687,12.1131,22.5135
9.17483,12.4623,23.0142
9.50317,12.776,23.572
9.82804,13.0455,24.1838
10.1452,13.2623,24.8445
10.4498,13.4178,25.5471
10.737,13.5041,26.283
11.0015,13.5143,27.0414
11.2378,13.4432,27.8099
11.4408,13.2874,28.5748
11.6056,13.0461,29.3213
11.7276,12.7209,30.0341
